date,headline,source
2026-03-13,"Reliance Industries trades flat, brokerages see upside from refining and petrochemical strength",BusinessLine
2026-03-13,Jio IPO delay makes Jefferies cut RIL target price but says O2C benefiting amid disruption,The Times of India
2026-03-13,"ONGC, Oil India shares outperform sector with double-digit gains in 2026. Will Iran-Israel crisis fuel more upside?",The Times of India
2026-03-12,Mattr Announces Fourth Quarter & Full Year 2025 Results: Enhanced Exposure to North American Wire and Cable Markets Drives Year Over Year Growth,GlobeNewswire
2026-03-12,Ahead of Market: 10 things that will decide stock market action on Friday,The Times of India
2026-03-12,"Swan Defence promoters to part-sell stake next week, appoints I-banker",The Times of India
2026-03-12,"reAlpha (NASDAQ: AIRE) Reports Fourth Quarter and Full Year 2025 Results; Record Full-Year Revenue of $4.5 Million, Up 376% Year Over Year",Financial Post
2026-03-12,"reAlpha (NASDAQ: AIRE) Reports Fourth Quarter and Full Year 2025 Results; Record Full-Year Revenue of $4.5 Million, Up 376% Year Over Year",GlobeNewswire
2026-03-12,ZenaTech’s ZenaDrone Announces the Filing of a Patent for its Maritime Defense System Combining ZenaDrone 2000 Interceptor Drone and IQ Glider Autonomous Marine Station,Financial Post
2026-03-12,"Stock Market Highlights: Sensex plunges 1.08% to 76,034, Nifty50 drops 0.95% to 23,639: Autos, FMCG lead losses",BusinessLine
2026-03-12,"GPGI Reports Strong Fourth Quarter with Organic Revenue Growth of 17%, Net Income Growth of 189%, and Pro Forma Adjusted EBITDA Growth of 41%",GlobeNewswire
2026-03-12,Iran War Exposes America’s Unfixed Supply Chains,The American Prospect
2026-03-12,Here Announces Unaudited Financial Results for the Second Quarter of Fiscal Year 2026,GlobeNewswire
2026-03-12,India's most trusted stock wipes out nearly Rs 3 lakh crore this year. Is RIL still a value bet?,The Times of India
2026-03-12,"Rs 5 lakh crore wiped out in minutes as Sensex plunges 1,000 points; Nifty below 23,600. 5 reasons behind today’s market crash",The Times of India
2026-03-12,"Reliance Industries, ONGC shares in focus as oil jumps 8% near $100. Will prices hit $200?",The Times of India
2026-03-12,Reliance to partner AFR for $300 billion US oil refinery project,The Times of India
2026-03-11,Baker Hughes Successfully Issues $6.5 Billion and €3 Billion of Senior Notes,GlobeNewswire
2026-03-11,Descartes Announces Fiscal 2026 Fourth Quarter and Annual Financial Results,Financial Post
2026-03-11,Descartes Announces Fiscal 2026 Fourth Quarter and Annual Financial Results,GlobeNewswire
